keys,en,zh-tw
HEAD_Basic,Basic,基礎
HEAD_Ailed,Ailed,
HEAD_AiledBlush,Ailed Blush,
HEAD_BlushClench,Blush Clench,
HEAD_BlushClenchClosed,Blush Clench (Closed),
HEAD_ClimaxCooldown_0,Climax Cooldown 1,
HEAD_ClimaxCooldown_1,Climax Cooldown 2,
HEAD_ClimaxCooldown_2,Climax Cooldown 3,
HEAD_ClimaxCooldown_3,Climax Cooldown 4,
HEAD_Concerned,Concerned,困惑
HEAD_GrappleSurprise,Grapple Surprise,
HEAD_Happy,Happy,高興
HEAD_HeavyBlushClench,Heavy Blush Clench,
HEAD_Hood,Hood,
HEAD_Moan,Moan,
HEAD_Moan_Green,Maon Green,
HEAD_Pleasure_LookingDown1,Pleasure Looking Down 1,
HEAD_Pleasure_LookingDown2,Pleasure Looking Down 2,
HEAD_SkinTight,Skin Tight,
HEAD_StunBuildup,Stun Buildup,
HEAD_StunMax,Stun Max,
HEAD_Surprise,Surprise,驚訝
